Date,Open,High,Low,Close,Volume,Profit/Share,Delta
4/16/2020,55.959999,58.080002,55.630001,56.950001,103106500,0.990002,0.017691244
4/17/2020,57.349998,57.759998,55.549999,56.599998,76908800,-0.75,-0.013077594
4/20/2020,55.98,58.630001,55.849998,56.970001,72367300,0.990001,0.017684905
4/21/2020,56.900002,57.73,51.41,52.919998,123906400,-3.980004,-0.069947344
4/22/2020,54.91,56.150002,54.34,55.919998,63164100,1.009998,0.018393699
4/23/2020,56.650002,57.290001,55.639999,55.900002,69662700,-0.75,-0.013239188
4/24/2020,55.099998,56.779999,54.419998,56.18,72854800,1.080002,0.019600763
4/27/2020,57.439999,58,56.25,56.490002,62568100,-0.949997,-0.016538945
4/28/2020,57.16,57.349998,55.299999,55.509998,80501800,-1.650002,-0.028866375
4/29/2020,54.529999,54.860001,52.740002,53.66,110800900,-0.869999,-0.015954502
4/30/2020,53.43,54.290001,52.029999,52.389999,65199200,-1.040001,-0.019464739
5/1/2020,51.07,51.950001,49.09,49.880001,69562700,-1.189999,-0.023301332
5/4/2020,49.82,52.610001,49.73,52.560001,62590600,2.740001,0.054998013
5/5/2020,53.43,53.509998,51.290001,52.189999,56560500,-1.240001,-0.023207954
5/6/2020,52.419998,53.310001,51.880001,52.16,48138100,-0.259998,-0.004959901
5/7/2020,52.93,52.970001,51.619999,51.950001,48956600,-0.979999,-0.018515001
5/8/2020,52.150002,53.27,51.810001,53.189999,40774200,1.039997,0.019942415
5/11/2020,52.900002,55.889999,52.75,55.740002,68574000,2.84,0.053686198
5/12/2020,56.209999,56.580002,53.75,53.759998,55631100,-2.450001,-0.043586569
5/13/2020,54.040001,55.220001,51.299999,52.18,76824700,-1.860001,-0.034418967
5/14/2020,52.099998,54.540001,51.610001,54.509998,73814000,2.41,0.046257199
5/15/2020,53.32,54.439999,52.860001,54.200001,66950900,0.880001,0.016504145
5/18/2020,54.98,55.25,54.240002,54.59,48679100,-0.39,-0.007093489
5/19/2020,54.389999,56.73,54.360001,55.470001,60388500,1.080002,0.019856628
5/20/2020,56.549999,56.98,55.630001,56.389999,50888200,-0.16,-0.002829355
5/21/2020,56.68,56.720001,54.610001,54.650002,48496100,-2.029998,-0.035815067
5/22/2020,54.77,55.369999,53.779999,55.169998,43524100,0.399998,0.007303232
5/26/2020,56.009998,56.080002,53.02,53.189999,51618900,-2.819999,-0.050348136
5/27/2020,53.27,53.279999,49.09,52.740002,102414500,-0.529998,-0.009949277
5/28/2020,52.25,53.540001,51.25,51.740002,53670200,-0.509998,-0.009760727
5/29/2020,52.07,53.799999,51.849998,53.799999,64948300,1.729999,0.033224486
6/1/2020,53.310001,54.110001,52.889999,53.630001,36864400,0.32,0.006002626
6/2/2020,53.450001,53.57,52.009998,53.540001,42855200,0.09,0.001683817
6/3/2020,53.599998,53.650002,52.330002,52.73,46765300,-0.869998,-0.016231307
6/4/2020,52.59,53.740002,52.200001,52.630001,44869100,0.040001,0.00076062
6/5/2020,52.990002,53.57,52.080002,53.099998,53908300,0.109996,0.002075788
6/8/2020,53.299999,53.349998,52.259998,52.970001,39681700,-0.329998,-0.006191332
6/9/2020,52.950001,56.459999,52.720001,56.389999,79919100,3.439998,0.064966911
6/10/2020,57.200001,59,57.029999,57.439999,78719400,0.239998,0.004195769
6/11/2020,55.939999,56.68,52.799999,52.830002,78715400,-3.109997,-0.055595228
6/12/2020,55.009998,55.599998,52.110001,53.5,71096500,-1.509998,-0.027449519
6/15/2020,52.580002,54.73,52.41,54.68,56740700,2.099998,0.039939101
6/16/2020,55.720001,56.07,53.59,54.459999,50949700,-1.260002,-0.022613101
6/17/2020,54.790001,55.82,54.299999,54.549999,45008100,-0.240002,-0.004380398
6/18/2020,54.619999,55.119999,53.650002,54.040001,40354700,-0.579998,-0.010618785
6/19/2020,54.41,55.459999,53.82,54.23,52801500,-0.18,-0.003308215
6/22/2020,54.669998,55.169998,53.740002,54.759998,44704800,0.09,0.001646241
6/23/2020,55.049999,55.369999,53.869999,53.990002,48089000,-1.059997,-0.019255168
6/24/2020,53.939999,54.740002,51.919998,52.389999,53535500,-1.55,-0.028735633
6/25/2020,52.560001,52.700001,50.540001,51.93,51129600,-0.630001,-0.01198632
6/26/2020,51.849998,51.950001,49.450001,50.099998,65485700,-1.75,-0.033751207
6/29/2020,50.150002,50.279999,48.419998,50.279999,49905800,0.129997,0.002592163
6/30/2020,51.16,52.77,50.82,52.610001,42275700,1.450001,0.028342475
7/1/2020,52.630001,52.869999,51.599998,52.580002,32370900,-0.049999,-0.000950009
7/2/2020,53.029999,53.189999,52.049999,52.34,29081400,-0.689999,-0.013011484
7/6/2020,52.900002,53.52,52.330002,53.400002,36769400,0.5,0.009451795
7/7/2020,53.279999,54.169998,52.860001,52.93,32153100,-0.349999,-0.00656905
7/8/2020,53.009998,53.470001,52.07,53.43,35608300,0.420002,0.007923071
7/9/2020,53.52,57.580002,53.310001,57.259998,87216300,3.739998,0.069880381
7/10/2020,57.540001,58.150002,55.509998,55.880001,59839700,-1.66,-0.028849496
7/13/2020,56.68,58.349998,53.380001,53.59,57741800,-3.09,-0.054516584
7/14/2020,53.299999,54.860001,52.259998,54.720001,54890100,1.420002,0.026641689
7/15/2020,54.959999,55.369999,53.59,55.34,42360300,0.380001,0.006914138
7/16/2020,54.68,55.150002,53.740002,54.919998,36887100,0.239998,0.004389137
7/17/2020,55.310001,55.810001,54.68,55.040001,34710400,-0.27,-0.004881576
7/20/2020,55.23,57.529999,54.830002,57.459999,45034300,2.229999,0.040376589
7/21/2020,57.810001,58.5,56.32,57,44800700,-0.810001,-0.014011434
7/22/2020,57.07,62,56.970001,61.790001,135159400,4.720001,0.082705467
7/23/2020,61.630001,62.330002,58.630001,59.57,106829100,-2.060001,-0.033425296
7/24/2020,64.18,69.940002,64.050003,69.400002,205314500,5.220002,0.08133378
7/27/2020,69.279999,71.629997,67.790001,68.970001,107918100,-0.309998,-0.004474567
7/28/2020,68.099998,69.800003,67.019997,67.610001,94181400,-0.489997,-0.007195257
7/29/2020,75.5,77.190002,73.900002,76.089996,132969700,0.589996,0.007814517
7/30/2020,75.370003,78.959999,75.07,78.199997,80286900,2.829994,0.037548015
7/31/2020,78.669998,78.959999,75.360001,77.43,71699700,-1.239998,-0.015762019
8/3/2020,78.190002,78.5,77.059998,77.669998,42628800,-0.520004,-0.006650518
8/4/2020,78.029999,85.809998,77.989998,85.040001,155676100,7.010002,0.089837269
8/5/2020,84.959999,86.32,83.32,85.309998,65737300,0.349999,0.004119574
8/6/2020,85.489998,86.980003,84.779999,86.709999,53961700,1.220001,0.014270687
8/7/2020,86.669998,87.290001,82.669998,84.849998,66498000,-1.82,-0.020999193
8/10/2020,85.050003,85.160004,79.32,82.239998,70536100,-2.810005,-0.033039446
8/11/2020,80.709999,80.709999,76.099998,76.879997,77877700,-3.830002,-0.047453872
8/12/2020,78.43,82.879997,77.550003,82.610001,88607800,4.180001,0.053295945
8/13/2020,82.879997,84.019997,81.540001,81.839996,57407400,-1.040001,-0.012548275
8/14/2020,81.809998,83.239998,80.879997,81.300003,42389500,-0.509995,-0.006233896
8/17/2020,82.089996,83.059998,81.550003,82.419998,31450200,0.330002,0.004020003
8/18/2020,82.800003,82.879997,81.029999,81.660004,30970500,-1.139999,-0.013768103
8/19/2020,81.779999,81.849998,80.449997,81.089996,37507400,-0.690003,-0.008437308
8/20/2020,79.739998,82.839996,79.120003,82.769997,42948900,3.029999,0.037998484
8/21/2020,83.290001,84.410004,82.230003,83.809998,48280300,0.519997,0.00624321
8/24/2020,84.550003,85.330002,82.550003,83.080002,38036100,-1.470001,-0.017386173
8/25/2020,83.360001,86.620003,82.349998,86.349998,49234400,2.989997,0.035868486
8/26/2020,86.970001,87.720001,85.199997,86.019997,47157300,-0.950004,-0.010923353
8/27/2020,86.349998,86.580002,82.940002,83.800003,42194200,-2.549995,-0.029530921
8/28/2020,84.300003,86.040001,84.190002,85.550003,40723300,1.25,0.014827995
8/31/2020,85.050003,92.639999,85.050003,90.82,90655900,5.769997,0.067842408
9/1/2020,91.919998,92.510002,90.190002,92.18,55825600,0.260002,0.002828568
